artifact,model_or_controller,rows_or_cases,heldout_rows,metric,value,notes
live_domain_router,Qwen2.5-3B-Instruct-Q4_K_M-local,3,,route_accuracy,1.0000,"three broad-domain task cards routed through live llama.cpp OpenAI-compatible shim"
live_bootstrap,Qwen2.5-3B-Instruct-Q4_K_M-local,3,,raw_overall_avg,0.4936,"formal_reasoning, empirical_science, systems_engineering"
live_bootstrap,Qwen2.5-3B-Instruct-Q4_K_M-local,3,,repaired_overall_avg,0.9048,"deterministic MeTTa/TRM repair pipeline after 3B draft"
live_bootstrap,Qwen2.5-3B-Instruct-Q4_K_M-local,3,,ready_for_rows_rate,1.0000,"three repaired packages exported TRM rows"
live_bootstrap,Qwen2.5-3B-Instruct-Q4_K_M-local,3,,ready_for_runtime_rate,1.0000,"three repaired packages passed local runtime-readiness gate"
commit_veto_base,hidden2048_recursive4_trm,2051,289,argmax_accuracy,0.7197,"3 harvested 3B commit/veto rows plus 2048 synthetic boundary rows"
commit_veto_base,hidden2048_recursive4_trm,2051,289,budget_best_accuracy,0.8374,"heldout frontier with zero false commits"
commit_veto_lora_rank2,hidden2048_recursive4_trm_lora,2051,289,argmax_accuracy,0.8720,"best argmax accuracy in this small 3B-derived feature-row run"
commit_veto_lora_rank2,hidden2048_recursive4_trm_lora,2051,289,argmax_false_commit_rate,0.1490,"higher false-commit risk than conservative frontier"
commit_veto_lora_rank2,hidden2048_recursive4_trm_lora,2051,289,argmax_false_veto_rate,0.0741,"rank-2 LoRA sharply reduced false vetoes"
commit_veto_lora_rank4,hidden2048_recursive4_trm_lora,2051,289,budget_best_accuracy,0.8478,"best zero-false-commit heldout frontier point"
jobcap,windows_job_object,2051,,peak_ram_mb,571.1836,"CPU-only training wrapper; no LLM weights loaded during TRM/VDP run"
vdp_rust_rank8,param_decomp_accel_rust,8,289,component_scores_per_sec,4085.1760,"VDP Rust scorer over LoRA head rank-one components"
